DateTime,Prod_Total
11/15/2019,33159
11/16/2019,35072
11/17/2019,34986
11/18/2019,35661
11/19/2019,35759
11/20/2019,35812
11/21/2019,36233
11/22/2019,40453
11/23/2019,40188
11/24/2019,39034
11/25/2019,37702
11/26/2019,37970
11/27/2019,37519
11/28/2019,35088
11/29/2019,34971
11/30/2019,34964
12/1/2019,36203
12/2/2019,36189
12/3/2019,33826
12/4/2019,36515
12/5/2019,35767
12/6/2019,35669
12/7/2019,35817
12/8/2019,38186
12/9/2019,38580
12/10/2019,38287
12/11/2019,38801
12/12/2019,38538
12/13/2019,39568
12/14/2019,39822
12/15/2019,39453
12/16/2019,39158
12/17/2019,41298
12/18/2019,40252
12/19/2019,40683
12/20/2019,40497
12/21/2019,40954
12/22/2019,40434
12/23/2019,39798
12/24/2019,39140
12/25/2019,39261
12/26/2019,39324
12/27/2019,39067
12/28/2019,39264
12/29/2019,38675
12/30/2019,38604
12/31/2019,38446
1/1/2020,38264
1/2/2020,37860
1/3/2020,37006
1/4/2020,38328
1/5/2020,37400
1/6/2020,37030
1/7/2020,37833
1/8/2020,38103
1/9/2020,41359
1/10/2020,42306
1/11/2020,40113
1/12/2020,40283
1/13/2020,41568
1/14/2020,39207
1/15/2020,39328
1/16/2020,39366
1/17/2020,40241
1/18/2020,40397
1/19/2020,41165
1/20/2020,41390
1/21/2020,39708
1/22/2020,40174
1/23/2020,40126
1/24/2020,40590
1/25/2020,40835
1/26/2020,40222
1/27/2020,40012
1/28/2020,40081
1/29/2020,41249
1/30/2020,39842
1/31/2020,40704
2/1/2020,40862
2/2/2020,38841
2/3/2020,39777
2/4/2020,41137
2/5/2020,39556
2/6/2020,39962
2/7/2020,39168
2/8/2020,38743
2/9/2020,40423
2/10/2020,40632
2/11/2020,39951
2/12/2020,38710
2/13/2020,38633
2/14/2020,38982
2/15/2020,37782
2/16/2020,37276
2/17/2020,37079
2/18/2020,37280
2/19/2020,36927
2/20/2020,37941
2/21/2020,38407
2/22/2020,37761
2/23/2020,38386
2/24/2020,36775
2/25/2020,38483
2/26/2020,38543
2/27/2020,38655
2/28/2020,38206
2/29/2020,37581
3/1/2020,37099
3/2/2020,37424
3/3/2020,36962
3/4/2020,36886
3/5/2020,37830
3/6/2020,38170
3/7/2020,38236
3/8/2020,38630
3/9/2020,38632
3/10/2020,38068
3/11/2020,38541
3/12/2020,38704
3/13/2020,39743
3/14/2020,40098
3/15/2020,40219
3/16/2020,39192
3/17/2020,39709
3/18/2020,39431
3/19/2020,39254
3/20/2020,40213
3/21/2020,39817
3/22/2020,39474
3/23/2020,40606
3/24/2020,40921
3/25/2020,41116
3/26/2020,40343
3/27/2020,41069
3/28/2020,40606
3/29/2020,40701
3/30/2020,41460
3/31/2020,40894
4/1/2020,42106
4/2/2020,41108
4/3/2020,41141
4/4/2020,41677
4/5/2020,41395
4/6/2020,41277
4/7/2020,41990
4/8/2020,42150
4/9/2020,40327
4/10/2020,39969
4/11/2020,39884
4/12/2020,40258
4/13/2020,39848
4/14/2020,39027
4/15/2020,40788
4/16/2020,39992
4/17/2020,40200
4/18/2020,40304
4/19/2020,37762
4/20/2020,37840
4/21/2020,35910
4/22/2020,38064
4/23/2020,39840
4/24/2020,40230
4/25/2020,39245
4/26/2020,40291
4/27/2020,39507
4/28/2020,38382
4/29/2020,34502
4/30/2020,39154
5/1/2020,39093
5/2/2020,38920
5/3/2020,39640
5/4/2020,39144
5/5/2020,37058
5/6/2020,37788
5/7/2020,35958
5/8/2020,37845
5/9/2020,38086
5/10/2020,38971
5/11/2020,37802
5/12/2020,36557
5/13/2020,36187
5/14/2020,36469
5/15/2020,37711
5/16/2020,37324
5/17/2020,36958
5/18/2020,35740
5/19/2020,34757
5/20/2020,34428
5/21/2020,35085
5/22/2020,35364
5/23/2020,35365
5/24/2020,35706
5/25/2020,34969
5/26/2020,34026
5/27/2020,30981
5/28/2020,32606
5/29/2020,33237
5/30/2020,34929
5/31/2020,33779
6/1/2020,34679
6/2/2020,35727
6/3/2020,32562
6/4/2020,33751
6/5/2020,33550
6/6/2020,33681
6/7/2020,33347
6/8/2020,33754
6/9/2020,35064
6/10/2020,32413
6/11/2020,32695
6/12/2020,31582
6/13/2020,30460
6/14/2020,32427
6/15/2020,32236
6/16/2020,32740
6/17/2020,32758
6/18/2020,33562
6/19/2020,32531
6/20/2020,32405
6/21/2020,33725
6/22/2020,32982
6/23/2020,33874
6/24/2020,33930
6/25/2020,31998
6/26/2020,32160
6/27/2020,31961
6/28/2020,32436
6/29/2020,32894
6/30/2020,32713
7/1/2020,32194
7/2/2020,33807
7/3/2020,33947
7/4/2020,33959
7/5/2020,34112
7/6/2020,34219
7/7/2020,33745
7/8/2020,33460
7/9/2020,33331
7/10/2020,33595
7/11/2020,31143
7/12/2020,31006
7/13/2020,32608
7/14/2020,33072
7/15/2020,32847
7/16/2020,32923
7/17/2020,33662
7/18/2020,32962
7/19/2020,32925
7/20/2020,32882
7/21/2020,32980
7/22/2020,32791
7/23/2020,32799
7/24/2020,32965
7/25/2020,27907
7/26/2020,24610
7/27/2020,28979
7/28/2020,30842
7/29/2020,31801
7/30/2020,31724
7/31/2020,32043
8/1/2020,32852
8/2/2020,32082
8/3/2020,32212
8/4/2020,32739
8/5/2020,32750
8/6/2020,32595
8/7/2020,32463
8/8/2020,33485
8/9/2020,31859
8/10/2020,31171
8/11/2020,29804
8/12/2020,30974
8/13/2020,30981
8/14/2020,31152
8/15/2020,30567
8/16/2020,28282
8/17/2020,29999
8/18/2020,31982
8/19/2020,31419
8/20/2020,30972
8/21/2020,33112
8/22/2020,33360
8/23/2020,32412
8/24/2020,31170
8/25/2020,32277
8/26/2020,30732
8/27/2020,30498
